GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,mfaminc,TimeFrame,GeoVintage,Source,Location
Zip Code Tabulation Area,99591,AK,99591,99591,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99602,AK,99602,99602,63333,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99603,AK,99603,99603,104207,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99604,AK,99604,99604,54688,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99605,AK,99605,99605,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99606,AK,99606,99606,73250,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99607,AK,99607,99607,47500,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99608,AK,99608,99608,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99609,AK,99609,99609,71250,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99610,AK,99610,99610,82344,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99611,AK,99611,99611,102600,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99612,AK,99612,99612,57500,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99613,AK,99613,99613,133750,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99614,AK,99614,99614,46500,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99615,AK,99615,99615,110132,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99620,AK,99620,99620,58261,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99621,AK,99621,99621,54167,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99622,AK,99622,99622,57250,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99623,AK,99623,99623,102054,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99624,AK,99624,99624,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99625,AK,99625,99625,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99626,AK,99626,99626,39000,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99627,AK,99627,99627,105313,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99628,AK,99628,99628,48000,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99630,AK,99630,99630,49375,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99631,AK,99631,99631,180787,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99632,AK,99632,99632,61635,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99633,AK,99633,99633,88125,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99634,AK,99634,99634,47031,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99635,AK,99635,99635,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99636,AK,99636,99636,81667,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99637,AK,99637,99637,63875,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99638,AK,99638,99638,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99639,AK,99639,99639,64615,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99640,AK,99640,99640,46250,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99641,AK,99641,99641,45652,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99643,AK,99643,99643,28984,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99644,AK,99644,99644,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99645,AK,99645,99645,114814,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99647,AK,99647,99647,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99648,AK,99648,99648,58750,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99649,AK,99649,99649,100625,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99650,AK,99650,99650,44500,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99651,AK,99651,99651,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99652,AK,99652,99652,106103,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99653,AK,99653,99653,69750,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99654,AK,99654,99654,119758,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99655,AK,99655,99655,54000,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99656,AK,99656,99656,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99657,AK,99657,99657,68106,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99658,AK,99658,99658,46875,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99659,AK,99659,99659,48125,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99660,AK,99660,99660,96667,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99661,AK,99661,99661,84009,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99662,AK,99662,99662,43036,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99663,AK,99663,99663,118125,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99664,AK,99664,99664,104542,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99665,AK,99665,99665,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99666,AK,99666,99666,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99667,AK,99667,99667,83654,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99668,AK,99668,99668,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99669,AK,99669,99669,104441,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99670,AK,99670,99670,59167,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99671,AK,99671,99671,49306,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99672,AK,99672,99672,124656,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99674,AK,99674,99674,77198,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99675,AK,99675,99675,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99676,AK,99676,99676,51800,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99677,AK,99677,99677,49063,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99678,AK,99678,99678,57143,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99679,AK,99679,99679,56250,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99680,AK,99680,99680,54583,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99681,AK,99681,99681,54583,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99682,AK,99682,99682,88750,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99683,AK,99683,99683,98036,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99684,AK,99684,99684,104500,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99685,AK,99685,99685,135909,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99686,AK,99686,99686,117788,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99688,AK,99688,99688,104891,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99689,AK,99689,99689,115625,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99690,AK,99690,99690,38929,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99691,AK,99691,99691,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99692,AK,99692,99692,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99693,AK,99693,99693,72500,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99694,AK,99694,99694,81429,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99695,AK,99695,99695,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99701,AK,99701,99701,97952,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99702,AK,99702,99702,69265,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99703,AK,99703,99703,74604,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99704,AK,99704,99704,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99705,AK,99705,99705,111333,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99706,AK,99706,99706,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99707,AK,99707,99707,N/A,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99709,AK,99709,99709,119083,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99712,AK,99712,99712,123780,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99714,AK,99714,99714,100781,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99720,AK,99720,99720,34375,2020-2024,2020,Census,United States (Nation)
Zip Code Tabulation Area,99721,AK,99721,99721,77679,2020-2024,2020,Census,United States (Nation)
