"city_state,credit_tier,avg_income,credit_tier_encoded"
"Leeds_AL,Very Good,69737.0,3"
"Level Plains_AL,Poor,77000.0,0"
"Lillian_AL,Very Good,52281.0,3"
"Lincoln_AL,Good,57145.0,2"
"Linden_AL,Good,38667.0,2"
"Lineville_AL,Fair,38302.0,1"
"Lipscomb_AL,Poor,41875.0,0"
"Livingston_AL,Poor,24236.0,0"
"Lookout Mountain_AL,Fair,80362.0,1"
"Loxley_AL,Good,108488.0,2"
"Luverne_AL,Good,43269.0,2"
"McCalla_AL,Good,87468.0,2"
"Madison_AL,Exceptional,134655.0,4"
"Malvern_AL,Very Good,43854.0,3"
"Marbury_AL,Fair,83558.0,1"
"Margaret_AL,Good,101802.0,2"
"Marion_AL,Poor,35842.0,0"
"Meadowbrook_AL,Exceptional,141862.0,4"
"Meridianville_AL,Exceptional,97434.0,4"
"Midfield_AL,Poor,52755.0,0"
"Midland City_AL,Fair,28438.0,1"
"Millbrook_AL,Fair,70313.0,1"
"Mobile_AL,Fair,53558.0,1"
"Monroeville_AL,Fair,32513.0,1"
"Montevallo_AL,Poor,56626.0,0"
"Montgomery_AL,Poor,56811.0,0"
"Moody_AL,Very Good,86627.0,3"
"Moores Mill_AL,Exceptional,96774.0,4"
"Morris_AL,Exceptional,101563.0,4"
"Moulton_AL,Good,57813.0,2"
"Moundville_AL,Poor,73036.0,0"
"Mountain Brook_AL,Exceptional,201479.0,4"
"Mount Olive_AL,Exceptional,82234.0,4"
"Mount Vernon_AL,Poor,46307.0,0"
"Munford_AL,Good,42284.0,2"
"Muscle Shoals_AL,Exceptional,75894.0,4"
"New Hope_AL,Exceptional,83816.0,4"
"New Market_AL,Exceptional,62500.0,4"
"Newton_AL,Fair,60030.0,1"
"Northport_AL,Fair,80913.0,1"
"Odenville_AL,Good,70296.0,2"
"Oneonta_AL,Very Good,53980.0,3"
"Opelika_AL,Very Good,65004.0,3"
"Opp_AL,Fair,41347.0,1"
"Orange Beach_AL,Exceptional,97736.0,4"
"Owens Cross Roads_AL,Exceptional,86188.0,4"
"Oxford_AL,Very Good,74268.0,3"
"Ozark_AL,Good,48944.0,2"
"Pelham_AL,Exceptional,101094.0,4"
"Pell City_AL,Very Good,68638.0,3"
"Phenix City_AL,Poor,50053.0,0"
"Piedmont_AL,Poor,40506.0,0"
"Pike Road_AL,Exceptional,117091.0,4"
"Pine Level_AL,Good,93134.0,2"
"Pinson_AL,Good,76410.0,2"
"Pleasant Grove_AL,Very Good,70317.0,3"
"Point Clear_AL,Exceptional,46097.0,4"
"Prattville_AL,Good,81337.0,2"
"Priceville_AL,Exceptional,117127.0,4"
"Prichard_AL,Poor,36588.0,0"
"Ragland_AL,Good,37708.0,2"
"Rainbow City_AL,Good,56398.0,2"
"Rainsville_AL,Very Good,74046.0,3"
"Red Bay_AL,Poor,37473.0,0"
"Redland_AL,Exceptional,130278.0,4"
"Reform_AL,Fair,33578.0,1"
"Rehobeth_AL,Exceptional,80972.0,4"
"Remlap_AL,Very Good,64677.0,3"
"Riverside_AL,Poor,83664.0,0"
"Roanoke_AL,Fair,47105.0,1"
"Robertsdale_AL,Very Good,59152.0,3"
"Rock Creek_AL,Very Good,84432.0,3"
"Rogersville_AL,Very Good,66127.0,3"
"Russellville_AL,Poor,58231.0,0"
"Saks_AL,Fair,49753.0,1"
"Samson_AL,Fair,33424.0,1"
"Saraland_AL,Very Good,61509.0,3"
"Sardis City_AL,Fair,67721.0,1"
"Satsuma_AL,Exceptional,101042.0,4"
"Scottsboro_AL,Very Good,53929.0,3"
"Selma_AL,Poor,33197.0,0"
"Selmont-West Selmont_AL,Poor,32443.0,0"
"Semmes_AL,Fair,66417.0,1"
"Sheffield_AL,Poor,39733.0,0"
"Shoal Creek_AL,Exceptional,218333.0,4"
"Slocomb_AL,Fair,38056.0,1"
"Smiths Station_AL,Poor,64669.0,0"
"Smoke Rise_AL,Fair,85882.0,1"
"Southside_AL,Exceptional,76487.0,4"
"Spanish Fort_AL,Exceptional,99346.0,4"
"Springville_AL,Exceptional,84231.0,4"
"Stevenson_AL,Poor,53958.0,0"
"Stewartville_AL,Good,87574.0,2"
"Sulligent_AL,Good,34861.0,2"
"Sumiton_AL,Fair,65568.0,1"
"Summerdale_AL,Exceptional,70110.0,4"
"Sylacauga_AL,Fair,50017.0,1"
"Sylvania_AL,Very Good,56161.0,3"
"Sylvan Springs_AL,Poor,81927.0,0"
"Talladega_AL,Poor,44198.0,0"
"Tallassee_AL,Poor,66752.0,0"
"Tarrant_AL,Poor,42070.0,0"
"Taylor_AL,Exceptional,67464.0,4"
"Theodore_AL,Good,67864.0,2"
"Thomasville_AL,Good,42671.0,2"
"Thorsby_AL,Good,76389.0,2"
"Tillmans Corner_AL,Good,60837.0,2"
"Triana_AL,Good,110100.0,2"
"Trinity_AL,Very Good,100929.0,3"
"Troy_AL,Poor,50717.0,0"
"Trussville_AL,Exceptional,123275.0,4"
"Tuscaloosa_AL,Poor,51464.0,0"
"Tuscumbia_AL,Poor,59143.0,0"
"Tuskegee_AL,Poor,38000.0,0"
"Underwood-Petersville_AL,Good,48219.0,2"
"Union Springs_AL,Poor,26250.0,0"
"Uniontown_AL,Fair,33750.0,1"
"Valley_AL,Fair,51661.0,1"
"Valley Grande_AL,Fair,58929.0,1"
"Vance_AL,Good,94545.0,2"
"Vandiver_AL,Good,49783.0,2"
"Vernon_AL,Poor,27967.0,0"
"Vestavia Hills_AL,Exceptional,134369.0,4"
"Vincent_AL,Good,52813.0,2"
"Warrior_AL,Poor,57557.0,0"
"Weaver_AL,Good,49435.0,2"
"Webb_AL,Good,54792.0,2"
"West Blocton_AL,Poor,40560.0,0"
"West End-Cobb Town_AL,Poor,55323.0,0"
"Westover_AL,Exceptional,96932.0,4"
"Wetumpka_AL,Fair,57763.0,1"
"Whitesboro_AL,Fair,67188.0,1"
"Wilsonville_AL,Exceptional,72115.0,4"
"Winfield_AL,Good,49688.0,2"
"Woodstock_AL,Poor,73438.0,0"
"York_AL,Poor,30489.0,0"
"Akutan_AK,Poor,35833.0,0"
"Anchorage_AK,Exceptional,103284.0,4"
"Anchor Point_AK,Very Good,63000.0,3"
"Badger_AK,Good,97183.0,2"
"Bear Creek_AK,Fair,95774.0,1"
"Bethel_AK,Poor,117255.0,0"
"Big Lake_AK,Very Good,81406.0,3"
"Butte_AK,Poor,101042.0,0"
"Chena Ridge_AK,Poor,133775.0,0"
"Cohoe_AK,Fair,63500.0,1"
"College_AK,Exceptional,83895.0,4"
"Cordova_AK,Poor,85132.0,0"
"Deltana_AK,Very Good,91923.0,3"
"Diamond Ridge_AK,Poor,87500.0,0"
"Dillingham_AK,Poor,101200.0,0"
"Eielson AFB_AK,Exceptional,68199.0,4"
"Ester_AK,Poor,53272.0,0"
"Fairbanks_AK,Exceptional,73534.0,4"
"Farmers Loop_AK,Poor,109950.0,0"
"Farm Loop_AK,Fair,119375.0,1"
"Fishhook_AK,Poor,111375.0,0"
"Fritz Creek_AK,Exceptional,89531.0,4"
"Gateway_AK,Good,137772.0,2"
"Goldstream_AK,Poor,103589.0,0"
"Haines_AK,Exceptional,86719.0,4"
"Healy_AK,Fair,125000.0,1"
"Homer_AK,Poor,74449.0,0"
"Houston_AK,Fair,73015.0,1"
"Juneau_AK,Very Good,101661.0,3"
"Kalifornsky_AK,Poor,93508.0,0"
"Kenai_AK,Exceptional,87083.0,4"
"Ketchikan_AK,Poor,85275.0,0"
"Knik-Fairview_AK,Poor,96437.0,0"
"Kodiak_AK,Exceptional,90292.0,4"
"Kodiak Station_AK,Poor,83750.0,0"
"Kotzebue_AK,Poor,110357.0,0"
"Lazy Mountain_AK,Poor,101667.0,0"
"Meadow Lakes_AK,Poor,81699.0,0"
"Metlakatla_AK,Poor,72279.0,0"
"Mill Bay_AK,Poor,88580.0,0"
"Nikiski_AK,Poor,65863.0,0"
"Nome_AK,Fair,113646.0,1"
"North Lakes_AK,Fair,101679.0,1"
"North Pole_AK,Poor,92273.0,0"
"Palmer_AK,Exceptional,72201.0,4"
"Petersburg_AK,Good,71369.0,2"
"Ridgeway_AK,Exceptional,90391.0,4"
"Seward_AK,Fair,85481.0,1"
"Sitka_AK,Fair,101727.0,1"
"Skagway_AK,Poor,89028.0,0"
"Soldotna_AK,Exceptional,56280.0,4"
"South Lakes_AK,Poor,98141.0,0"
"Steele Creek_AK,Poor,121364.0,0"
"Sterling_AK,Poor,102415.0,0"
"Susitna North_AK,Poor,55357.0,0"
"Tanaina_AK,Poor,105536.0,0"
"Tok_AK,Poor,64063.0,0"
"Unalaska_AK,Poor,131964.0,0"
"UtqiagÌ‡vik_AK,Poor,115313.0,0"
"Valdez_AK,Poor,99271.0,0"
"Wasilla_AK,Exceptional,67234.0,4"
"Willow_AK,Exceptional,89000.0,4"
"Wrangell_AK,Good,63750.0,2"
"Ajo_AZ,Exceptional,53958.0,4"
"Anthem_AZ,Exceptional,120613.0,4"
"Apache Junction_AZ,Good,60975.0,2"
"Arizona City_AZ,Exceptional,66420.0,4"
"Avenue B and C_AZ,Good,44240.0,2"
"Avondale_AZ,Very Good,86123.0,3"
"Avra Valley_AZ,Fair,54132.0,1"
"Bagdad_AZ,Poor,107885.0,0"
"Beaver Dam_AZ,Poor,72650.0,0"
"Benson_AZ,Good,49346.0,2"
"Bisbee_AZ,Poor,47613.0,0"
"Black Canyon City_AZ,Poor,47465.0,0"
"Buckeye_AZ,Exceptional,99486.0,4"
"Bullhead City_AZ,Very Good,50556.0,3"
"Bylas_AZ,Poor,29318.0,0"
"Cactus Flats_AZ,Very Good,58021.0,3"
"Camp Verde_AZ,Very Good,69203.0,3"
"Carefree_AZ,Exceptional,147165.0,4"
"Casa Blanca_AZ,Poor,30282.0,0"
"Casa Grande_AZ,Very Good,69983.0,3"
"Casas Adobes_AZ,Exceptional,83683.0,4"
"Catalina_AZ,Exceptional,78207.0,4"
"Catalina Foothills_AZ,Exceptional,115304.0,4"
"Cave Creek_AZ,Exceptional,107067.0,4"
"Central Heights-Midland City_AZ,Poor,61400.0,0"
"Chandler_AZ,Exceptional,108095.0,4"
"Chinle_AZ,Poor,53239.0,0"
"Chino Valley_AZ,Exceptional,61237.0,4"
"Cibecue_AZ,Poor,25791.0,0"
"Cienega Springs_AZ,Exceptional,46575.0,4"
"Citrus Park_AZ,Exceptional,141026.0,4"
"Clarkdale_AZ,Good,46563.0,2"
"Clifton_AZ,Poor,78480.0,0"
"Colorado City_AZ,Exceptional,64167.0,4"
"Congress_AZ,Very Good,57159.0,3"
"Coolidge_AZ,Very Good,67023.0,3"
"Cordes Lakes_AZ,Poor,61708.0,0"
"Cornville_AZ,Exceptional,72596.0,4"
"Corona de Tucson_AZ,Exceptional,132568.0,4"
"Cottonwood_AZ,Good,48448.0,2"
"Desert Hills_AZ,Exceptional,62361.0,4"
"Dewey-Humboldt_AZ,Fair,66535.0,1"
"Dolan Springs_AZ,Poor,25996.0,0"
"Doney Park_AZ,Exceptional,104967.0,4"
"Douglas_AZ,Poor,42019.0,0"
"Drexel Heights_AZ,Fair,73508.0,1"
"Eagar_AZ,Very Good,82839.0,3"
"El Mirage_AZ,Fair,78050.0,1"
"Eloy_AZ,Poor,55736.0,0"
"First Mesa_AZ,Poor,57889.0,0"
"Flagstaff_AZ,Poor,71512.0,0"
"Florence_AZ,Poor,79644.0,0"
"Flowing Wells_AZ,Poor,39774.0,0"
"Fort Defiance_AZ,Poor,56045.0,0"
"Fort Mohave_AZ,Very Good,64815.0,3"
"Fortuna Foothills_AZ,Exceptional,60474.0,4"
"Fort Valley_AZ,Exceptional,125625.0,4"
"Fountain Hills_AZ,Exceptional,112654.0,4"
"Gila Bend_AZ,Poor,52254.0,0"
"Gilbert_AZ,Exceptional,122551.0,4"
"Glendale_AZ,Good,73530.0,2"
"Globe_AZ,Poor,69170.0,0"
"Gold Canyon_AZ,Exceptional,93377.0,4"
"Golden Shores_AZ,Exceptional,44077.0,4"
"Golden Valley_AZ,Exceptional,42585.0,4"
"Goodyear_AZ,Exceptional,103319.0,4"
"Grand Canyon Village_AZ,Poor,73418.0,0"
"Green Valley_AZ,Exceptional,62063.0,4"
"Guadalupe_AZ,Poor,51354.0,0"
"Heber-Overgaard_AZ,Very Good,58542.0,3"
"Holbrook_AZ,Good,56502.0,2"
"Huachuca City_AZ,Fair,50625.0,1"
"Joseph City_AZ,Poor,75227.0,0"
"Kachina Village_AZ,Good,90375.0,2"
"Kaibito_AZ,Poor,46932.0,0"
"Kayenta_AZ,Poor,58423.0,0"
"Kearny_AZ,Poor,47031.0,0"
"Kingman_AZ,Exceptional,61792.0,4"
"Lake Havasu City_AZ,Exceptional,70148.0,4"
"Lake Montezuma_AZ,Fair,64455.0,1"
"Lake of the Woods_AZ,Very Good,55987.0,3"
"Linden_AZ,Good,98038.0,2"
"Litchfield Park_AZ,Exceptional,126250.0,4"
"Lukachukai_AZ,Poor,37011.0,0"
"Mammoth_AZ,Poor,47266.0,0"
"Marana_AZ,Exceptional,112606.0,4"
"Maricopa_AZ,Exceptional,96391.0,4"
"Mayer_AZ,Poor,55132.0,0"
"Meadview_AZ,Fair,26490.0,1"
"Mesa_AZ,Very Good,82752.0,3"
"Mescal_AZ,Exceptional,55417.0,4"
"Miami_AZ,Very Good,40875.0,3"
"Mohave Valley_AZ,Fair,60134.0,1"
"Morenci_AZ,Poor,69583.0,0"
"Mountainaire_AZ,Fair,111891.0,1"
"Mountain View Ranches_AZ,Exceptional,116290.0,4"
"New Kingman-Butler_AZ,Poor,40949.0,0"
"New River_AZ,Exceptional,134289.0,4"
"Nogales_AZ,Very Good,43214.0,3"
"North Fork_AZ,Poor,123313.0,0"
"Oracle_AZ,Good,63774.0,2"
"Oro Valley_AZ,Exceptional,107117.0,4"
"Page_AZ,Very Good,88826.0,3"
"Paradise Valley_AZ,Exceptional,247159.0,4"
"Parker_AZ,Very Good,66273.0,3"
"Parks_AZ,Exceptional,78333.0,4"
"Paulden_AZ,Exceptional,91741.0,4"
"Payson_AZ,Exceptional,67710.0,4"
"Peoria_AZ,Exceptional,95815.0,4"
"Phoenix_AZ,Good,81332.0,2"
"Picture Rocks_AZ,Exceptional,61634.0,4"
"Pima_AZ,Poor,97960.0,0"
"Pine_AZ,Exceptional,59432.0,4"
"Pinetop Country Club_AZ,Exceptional,79719.0,4"
"Pinetop-Lakeside_AZ,Good,60694.0,2"
"Pirtleville_AZ,Poor,48589.0,0"
"Prescott_AZ,Exceptional,70874.0,4"
"Prescott Valley_AZ,Exceptional,74569.0,4"
"Queen Creek_AZ,Exceptional,141978.0,4"
"Red Lake_AZ,Exceptional,100988.0,4"
"Red Rock_AZ,Poor,40000.0,0"
"Red Rock_AZ,Poor,80357.0,0"
"Rincon Valley_AZ,Exceptional,132098.0,4"
"Rio Rico_AZ,Exceptional,61348.0,4"
"Rio Verde_AZ,Exceptional,131723.0,4"
"Sacaton_AZ,Poor,49327.0,0"
"Saddlebrooke_AZ,Exceptional,88686.0,4"
"Safford_AZ,Good,65647.0,2"
"Sahuarita_AZ,Exceptional,104680.0,4"
"St. David_AZ,Exceptional,53188.0,4"
"St. Johns_AZ,Poor,131968.0,0"
"San Carlos_AZ,Poor,56302.0,0"
"San Luis_AZ,Good,59400.0,2"
"San Manuel_AZ,Good,48314.0,2"
"San Tan Valley_AZ,Exceptional,96713.0,4"
"Scenic_AZ,Poor,29063.0,0"
"Scottsdale_AZ,Exceptional,110886.0,4"
"Sedona_AZ,Very Good,73738.0,3"
"Show Low_AZ,Exceptional,60368.0,4"
"Sierra Vista_AZ,Very Good,70291.0,3"
"Sierra Vista Southeast_AZ,Exceptional,75417.0,4"
"Snowflake_AZ,Exceptional,76174.0,4"
"Somerton_AZ,Poor,74015.0,0"
"South Tucson_AZ,Fair,33598.0,1"
"Springerville_AZ,Very Good,49051.0,3"
"Spring Valley_AZ,Poor,42817.0,0"
"Star Valley_AZ,Very Good,65426.0,3"
"Summit_AZ,Poor,47064.0,0"
"Sun City_AZ,Exceptional,54586.0,4"
"Sun City West_AZ,Exceptional,63685.0,4"
"Sun Lakes_AZ,Exceptional,67853.0,4"
"Surprise_AZ,Exceptional,96711.0,4"
"Swift Trail Junction_AZ,Poor,63074.0,0"
"Tanque Verde_AZ,Exceptional,121599.0,4"
"Taylor_AZ,Exceptional,90275.0,4"
"Tempe_AZ,Fair,79663.0,1"
"Thatcher_AZ,Very Good,82917.0,3"
"Three Points_AZ,Good,56898.0,2"
"Timberline-Fernwood_AZ,Exceptional,124638.0,4"
"Tolleson_AZ,Good,59626.0,2"
"Tombstone_AZ,Exceptional,34901.0,4"
"Tonto Basin_AZ,Exceptional,50762.0,4"
"Tsaile_AZ,Poor,48819.0,0"
"Tubac_AZ,Exceptional,73359.0,4"
"Tuba City_AZ,Fair,61338.0,1"
"Tucson_AZ,Fair,57073.0,1"
"Tucson Estates_AZ,Very Good,66582.0,3"
"Tucson Mountains_AZ,Very Good,134474.0,3"
"Vail_AZ,Exceptional,130904.0,4"
"Valencia West_AZ,Very Good,99884.0,3"
"Valle Vista_AZ,Poor,46161.0,0"
"Verde Village_AZ,Exceptional,69331.0,4"
"Village of Oak Creek (Big Park)_AZ,Exceptional,80878.0,4"
"Wagon Wheel_AZ,Exceptional,68495.0,4"
"Wellton_AZ,Exceptional,58470.0,4"
"Whetstone_AZ,Exceptional,51625.0,4"
"White Mountain Lake_AZ,Fair,50263.0,1"
"Whiteriver_AZ,Poor,37440.0,0"
"Wickenburg_AZ,Exceptional,67600.0,4"
"Willcox_AZ,Fair,43929.0,1"
"Williams_AZ,Exceptional,76136.0,4"
"Williamson_AZ,Exceptional,89398.0,4"
"Window Rock_AZ,Fair,55694.0,1"
"Winslow_AZ,Good,58346.0,2"
"Youngtown_AZ,Good,68321.0,2"
"Yuma_AZ,Very Good,65482.0,3"
"Alexander_AR,Poor,57250.0,0"
"Alma_AR,Very Good,68562.0,3"
"Arkadelphia_AR,Poor,48657.0,0"
"Ashdown_AR,Good,55625.0,2"
"Atkins_AR,Very Good,61908.0,3"
"Augusta_AR,Poor,50575.0,0"
"Austin_AR,Good,113764.0,2"
"Bald Knob_AR,Fair,48355.0,1"
"Barling_AR,Very Good,54387.0,3"
"Batesville_AR,Fair,51856.0,1"
"Bay_AR,Poor,59769.0,0"
"Beebe_AR,Very Good,59476.0,3"
"Bella Vista_AR,Exceptional,88055.0,4"
"Benton_AR,Good,72876.0,2"
"Bentonville_AR,Exceptional,112792.0,4"
"Berryville_AR,Poor,42283.0,0"
"Blytheville_AR,Poor,47865.0,0"
"Bono_AR,Very Good,56098.0,3"
"Booneville_AR,Poor,50459.0,0"
"Brinkley_AR,Fair,38996.0,1"
"Brookland_AR,Good,57308.0,2"
"Bryant_AR,Very Good,83024.0,3"
"Bull Shoals_AR,Good,41976.0,2"
"Cabot_AR,Very Good,75000.0,3"
"Camden_AR,Poor,49361.0,0"
"Carlisle_AR,Good,41713.0,2"
"Cave City_AR,Good,49800.0,2"
"Cave Springs_AR,Exceptional,146473.0,4"
"Cedarville_AR,Very Good,59740.0,3"
"Centerton_AR,Exceptional,115713.0,4"
"Charleston_AR,Fair,56600.0,1"
"Cherokee Village_AR,Fair,37326.0,1"
"Clarendon_AR,Poor,33818.0,0"
"Clarksville_AR,Poor,37373.0,0"
"Clinton_AR,Exceptional,42946.0,4"
"Conway_AR,Fair,63004.0,1"
"Corning_AR,Poor,50408.0,0"
