GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,mfaminc,TimeFrame,GeoVintage,Source,Location
Zip Code Tabulation Area,99591,AK,99591,99591,76875,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99602,AK,99602,99602,43542,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99603,AK,99603,99603,83106,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99604,AK,99604,99604,36346,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99605,AK,99605,99605,119167,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99606,AK,99606,99606,40417,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99607,AK,99607,99607,53750,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99609,AK,99609,99609,45625,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99610,AK,99610,99610,81116,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99611,AK,99611,99611,84821,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99612,AK,99612,99612,74444,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99613,AK,99613,99613,98250,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99614,AK,99614,99614,40833,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99615,AK,99615,99615,98827,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99620,AK,99620,99620,33750,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99621,AK,99621,99621,47000,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99622,AK,99622,99622,54000,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99624,AK,99624,99624,83750,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99625,AK,99625,99625,N/A,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99626,AK,99626,99626,35625,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99627,AK,99627,99627,51875,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99628,AK,99628,99628,44375,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99630,AK,99630,99630,46250,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99631,AK,99631,99631,78529,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99632,AK,99632,99632,35500,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99633,AK,99633,99633,96250,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99634,AK,99634,99634,26528,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99636,AK,99636,99636,42750,2015-2019,2010,Census,United States (Nation)
